,name,protein,calcium,fat,carbohydrates,vitamins
0,apple pie:Estimate Calories 237 For 100 Grams Quantity,2.63,0.018,14.04,35.09,0
1,baby back ribs:Estimate Calories 276 For 100 Grams Quantity,18.75,0.026,9.82,0,0
2,baklava:Estimate Calories 403 For 100 Grams Quantity,6.64,0.04,29.13,37.53,0.0013
3,beef carpaccio:Estimate Calories 231 For 100 Grams Quantity,27.1,0.012,14.93,0,0
4,beef tartare:Estimate Calories 246 For 100 Grams Quantity,15.67,0.032,13.84,1.56,0.0052
5,beet salad:Estimate Calories 231 For 100 Grams Quantity,1.32,0.018,5.29,11.01,0.4542
6,beignets:Estimate Calories 291 For 100 Grams Quantity,12.5,0.25,0,75,0
7,bibimbap:Estimate Calories 113 For 100 Grams Quantity,5.38,0.033,2.81,8.34,0.0055
8,bread pudding:Estimate Calories 188 For 100 Grams Quantity,4.42,0.044,12.39,43.36,0.398
9,breakfast burrito:Estimate Calories 169 For 100 Grams Quantity,5.16,0.052,5.16,18.06,0.1305
10,bruschetta:Estimate Calories 206 For 100 Grams Quantity,4.03,0.039,7.7,22.18,0.1366
11,caesar salad:Estimate Calories 158 For 100 Grams Quantity,5.91,0.157,15.75,7.48,4.1505
12,cannoli:Estimate Calories 293 For 100 Grams Quantity,6.32,0.021,14.74,42.11,0
13,caprese salad:Estimate Calories 136 For 100 Grams Quantity,3.52,0.106,11.97,8.45,1.0602
14,carrot cake:Estimate Calories 333 For 100 Grams Quantity,3.85,0.046,29.23,56.15,1.923
15,ceviche:Estimate Calories 68 For 100 Grams Quantity,10.34,0.025,0.75,3.58,1.939
16,cheese plate:Estimate Calories 389 For 100 Grams Quantity,6.46,0.146,11.51,15.58,0.27
17,cheesecake:Estimate Calories 321 For 100 Grams Quantity,5.5,0.051,22.5,25.5,0.2544
18,chicken curry:Estimate Calories 104 For 100 Grams Quantity,5.73,0.032,3.85,6.67,0.263
19,chicken quesadilla:Estimate Calories 216 For 100 Grams Quantity,14.16,0.221,10.62,22.12,0.2661
20,chicken wings:Estimate Calories 328 For 100 Grams Quantity,18.58,0,18.58,0,0
21,chocolate cake:Estimate Calories 389 For 100 Grams Quantity,3.53,0.024,12.94,60,0
22,chocolate mousse:Estimate Calories 225 For 100 Grams Quantity,1.19,0.036,23.81,19.05,0.0007
23,churros:Estimate Calories 396 For 100 Grams Quantity,3.02,0.007,30.58,49.8,0
24,clam chowder:Estimate Calories 79 For 100 Grams Quantity,2.68,0.007,3.12,8.48,0
25,club sandwich:Estimate Calories 234 For 100 Grams Quantity,14.04,0.171,12.33,20.21,0.7741
